"","Code","Description"
"1","NCESSCH","Unique School ID"
"2","SURVYEAR","Year corresponding to survey record"
"3","STABR","Postal state abbreviation code"
"4","LEAID","NCES Agency ID"
"5","ST_LEAID","State Local Education Number"
"6","LEA_NAME","Education Agency Name"
"7","SCH_NAME","School name"
"8","LSTREET1","Location address, street 1"
"9","LSTREET2","Location address, street 2"
"10","LCITY","Location city"
"11","LSTATE","Location state"
"12","LZIP","Location 5 digit ZIP code"
"13","LZIP4","Location Secondary ZIP code"
"14","PHONE","Telephone number"
"15","CHARTER_TEXT","Whether a Charter School"
"16","VIRTUAL","Virtual School Status"
"17","GSLO","Grades Offered - Lowest"
"18","GSHI","Grades Offered - Highest"
"19","SCHOOL_LEVEL","School level"
"20","STATUS","Start of year status (code)"
"21","SCHOOL_TYPE_TEXT","School type (description)"
"22","SY_STATUS_TEXT","Start of year Status (description)"
"23","ULOCALE","Locale Code"
"24","NMCNTY","County Name"
"25","CNTY","County FIPS"
"26","TOTFRL","Total of free lunch and reduced-price lunch eligible"
"27","FRELCH","Free Lunch Program"
"28","REDLCH","Reduced-Lunch Program"
"29","DIRECTCERT","Direct Certification"
"30","PK","Prekindergarten students"
"31","KG","Kindergarten students"
"32","G01","Grade 1 students"
"33","G02","Grade 2 students"
"34","G03","Grade 3 students"
"35","G04","Grade 4 students"
"36","G05","Grade 5 students"
"37","G06","Grade 6 students"
"38","G07","Grade 7 students"
"39","G08","Grade 8 students"
"40","G09","Grade 9 students"
"41","G10","Grade 10 students"
"42","G11","Grade 11 students"
"43","G12","Grade 12 students"
"44","G13","Grade 13 students"
"45","UG","Ungraded students"
"46","AE","Adult Education Students"
"47","TOTMENROL","Total Male Enrollment"
"48","TOTFENROL","Total Female Enrollment"
"49","TOTAL","Total students, all grades (includes AE)"
"50","MEMBER","Total elementary/secondary students (excludes AE)"
"51","FTE","Total Teachers"
"52","STUTERATIO","Student teacher ratio"
"53","AMALM","All Students - American Indian/Alaska Native - Male"
"54","AMALF","All Students - American Indian/Alaska Native - Female"
"55","AM","All Students - American Indian/Alaska Native"
"56","ASALM","All Students - Asian - Male"
"57","ASALF","All Students - Asian - Female"
"58","AS_","All Students - Asian"
"59","BLALM","All Students - Black or African American - Male"
"60","BLALF","All Students - Black or African American - Female"
"61","BL","All Students - Black or African American"
"62","HPALM","All Students - Native Hawai'ian or Other Pacific Islander - Male"
"63","HPALF","All Students - Native Hawai'ian or Other Pacific Islander - Female"
"64","HP","All Students - Native Hawai'ian or Other Pacific Islander"
"65","HIALM","All Students - Hispanic - Male"
"66","HIALF","All Students - Hispanic - Female"
"67","HI","All Students - Hispanic"
"68","TRALM","All Students - Two or More Races - Male"
"69","TRALF","All Students - Two or More Races - Female"
"70","TR","All Students - Two or More Races"
"71","WHALM","All Students - White - Male"
"72","WHALF","All Students - White - Female"
"73","WH","All Students - White"
"74","LATCOD","Latitude"
"75","LONCOD","Longitude"
