arc,Name,Street Address,City/County,School District,On-site SBHC or not validated by Dylan and Dr. Shih,Operated By,Delivery Models,School-Based Health Services,Services Offered,Primary Care,Behavioral Health,Provider Team,Provider Information,Source: School-Based Health Alliance,Sources ,HRSA 2025 Data Note
VCU_1,CVHS-Crimson Clinic - Petersburg High School,"3101 Johnson Rd, Petersburg, VA 23805",Petersburg,Petersburg High School,1,"Central Virginia Health Services, Inc.",Traditional,"Medical, Dental, Behavioral Health","physical exams; health care services for students who are sick (co-management with a child’s primary care provider on most health related issues) including asthma and diabetes; immunization updates; individual, group and family counseling, parent guidance; classroom education on wellness issues; crisis intervention; reproductive health services including: gynecological exams (Pap smears, family planning and sexually transmitted infection screenings); and diagnosis and treatment of sexually transmitted diseases",Yes,Yes,"Pediatrics, Family Nurse Practitioner, Dentist, Behavioral Health Clinician, Community Healthcare Worker","
- Ms. Chelsea Smith, FNP
- Dr. Sheilandice Brown, DDS
- Ms. Ashley Waddell, LCSW
",Y,School-Based Health Alliance,Included in 2025 data
VCU_2,PATHS George Washington High School Based Health Center,"701 Broad St, Danville, VA 24541",Danville,Danville Public Schools,1,Piedmont Access To Health Services (PATHS),Traditional,"Medical, Dental, Vision",Preventative and primary care services to children and adolescents,Yes,No,"Nurse Practitioner, Optometrist, Pediatric Dentist, and Certified Community Health Worker","- Dr. Kelechi “Dr. K” Okereke, Pediatric Dentist
",N,VCHA,Included in 2025 data
VCU_3,Craig County Wellness Center,"226 Market St, New Castle, VA 24127",New Castle,Craig County Public Schools,1,Monroe Health Center,Traditional,Medical,"Acute care and illness walk-in sick visits, sports and annual physicals, well-child visits, care for minor injuries, flu vaccinations, preventative medicine, and family planning",Yes,No,N/A,"- Dr. Travis Hansbarger, MD
- Tina Howard, FNP-C
- Laura Jane Barnard, FNP",Y,School-Based Health Alliance,Included in 2025 data
VCU_4,CVHS- Blue Devils Health Center - Hopewell High School,"400 S Mesa Dr, Hopewell, VA 23860",Hopewell,Hopewell Public Schools,1,"Central Virginia Health Services, Inc.",Traditional,"Medical, Dental, Behavioral Health","Medical services including reventative/wellness care, physicals, sick visits, immunizations, chronic disease management; dental services including cleanings, extractions, and fillings; behavioral health services including therapy for children/adolescent and adults, treatment of mood/anxiety, school-relate problems, caregiver-child attachment, foster care issues, grief, stress management, coping with chronic illnesses",Yes,Yes,"Nurse Practitioners, Dentist, Behavioral Health Clinician","- Mr. Michael Ngetich, NP
- Ms. Stella Ngetich, NP
- Dr. Jerome Jackson, DDS
- Ms. Jennifer Weston, LCSW",Y,HRSA Health Center,Included in 2025 data
VCU_5,Highland Medical Center School Based Healthcare,"120 Jackson River Road, Monterey VA 24465",Monterey,Highland County Public Schools,0,"Highland Medical Center, Inc",N/A,"Medical, Counseling","Medical services including Ill child care, Well child screenings, Preventative health screening, Sports physicals, Immunizations, Health education, Physician referrals; Counseling services including Individual and family counseling, Crisis intervention, Mental health screenings, Education, Referrals to additional resources, Treatment for problems such as substance abuse, anger management, anxiety, depression, disruptive behavior, and attention deficit disorders",Yes,Yes,N/A,,Y,School-Based Health Alliance,Included in 2025 data
VCU_6,Eastern Elementary/Middle School,"6899 Virginia Ave, Pembroke, VA 24136",Giles,Giles County Public Schools,0,Community Health Center of the New River Valley,Traditional,Dental,"Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",No,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_7,Macy McClaugherty Elementary/Middle School,"1001 Henson Ave, Pearisburg, VA 24134",Giles,Giles County Public Schools,0,Community Health Center of the New River Valley,Traditional,0,"Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",No,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_8,Narrows Elementary/Middle School,"401 Wolf St, Narrows, VA 24124",Giles,Giles County Public Schools,0,Community Health Center of the New River Valley,Traditional,Dental,"Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",No,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_9,Narrows High School,"1 Green Wave Ln, Narrows, VA 24124",Giles,Giles County Public Schools,0,Community Health Center of the New River Valley,Traditional,Dental,"Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",No,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_10,Giles High School/Technical Center,"1827 Wenonah Ave, Pearisburg, VA 24134",Giles,Giles County Public Schools,0,Community Health Center of the New River Valley,Traditional,Dental,"Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",No,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,Y,HRSA Health Center,
VCU_11,Galax City Schools,"200 Maroon Tide Drive, Galax, VA 24333",Galax,Galax Public Schools,1,Tri-Area Community Health,"Traditional, Telehealth","Medical, Behavioral","Medical services include physical exams for school, sports & camp, treatment for acute & chronic illness & injuries, vision/hearing screenings and follow-up, referrals for specialty services, basic laboratory services & tests",Yes,Yes,Nurse Practitioner,"- Jenell Joines, NP-C
- LeAnn Pyles, LPC
- Taylor Williams, BS",Y,HRSA Health Center,Included in 2025 data
VCU_12,Dublin Elementary,"600 Dunlap Road Dublin, Virginia 24084",Pulaski,Pulaski County Public Schools,1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_13,Critzer Elementary,"100 Critzer Dr, Pulaski, VA 24301",Pulaski,Pulaski County Public Schools,1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_14,Pulaski Elementary,"2004 Morehead Ln, Pulaski, VA 24301",Pulaski,"Pulaski County Public Schools 
",1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_15,Pulaski County Middle School,"4396 Lee Hwy, Pulaski, VA 24301",Pulaski,"Pulaski County Public Schools 
",1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_16,Riverlawn Elementary,"8100 Beth Nelson Dr, Fairlawn, VA 24141",Pulaski,Pulaski County Public Schools,1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_17,Snowville Elementary,"4858 Lead Mine Rd, Hiwassee, VA 24347",Pulaski,"Pulaski County Public Schools 
",1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,N,HRSA Health Center,
VCU_18,Pulaski County High School/CTE Program,"5414 Cougar Trail Rd, Dublin, VA 24084",Pulaski,Pulaski County Public Schools,1,Community Health Center of the New River Valley,Traditional,"Medical, Dental","Medical services include sick visits, well-child visits, annual physicals, routine lab work (for established patients), and chronic disease management; Preventative dental services which include dental cleanings, exams, x-rays, fluoride treatments, and sealants",Yes,No,N/A,* Unsure which provider is working at SBHC in Giles and Pulaski schools,Y,HRSA Health Center,Included in 2025 data
VCU_22,Saltville Elementary School,"1013 E Main St, Saltville, VA 24370",Saltville,Smyth County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Micaela Williams, MSN, APRN, FNP-C",N,HRSA Health Center,Included in 2025 data
VCU_23,Chilhowie Elementary School,"130 Lee Hwy, Chilhowie, VA 24319",Chilhowie,Smyth County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Kimberly Harding, MSN, APRN, FNP-BC",N,HRSA Health Center,Included in 2025 data
VCU_24,Northwood Middle School,"156 Long Hollow Rd, Saltville, VA 24370",Saltville,Smyth County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Micaela Williams, MSN, APRN, FNP-C",N,HRSA Health Center,Included in 2025 data
VCU_25,Van Pelt Elementary School AKA Virginia Primary School,"200 Spring Hill Terrace, Bristol, VA 24201",Saltville,Bristol Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,"Diagnose and treat a variety of acute issues such as Strep, Flu, Mono, COVID-19, skin infections, sinusitis, etc.",Yes,No,Family nurse practitioner,"- Kellie Brown, MSN, APRN, FNP-C",N,HRSA Health Center,Included in 2025 data
VCU_26,Virginia High School,"650 Long Cres Dr, Bristol, VA 24201",Bristol,Smyth County Public Schools,1,Southwest Virginia Community Health Systems,Traditional,Medical,,,,,"- Kellie Brown, MSN, APRN, FNP-C",N,VCHA,
